sn,experiment,a11,a12,a13,a21,a22,a23,a31,a32,a33,a41,a42,a43,r11,r12,r13,r21,r22,r23,r31,r32,r33,r41,r42,r43,drecall11,drecall12,drecall13,drecall21,drecall22,drecall23,drecall31,drecall32,drecall33,drecall41,drecall42,drecall43,drecallDblExp11,drecallDblExp12,drecallDblExp13,drecallDblExp21,drecallDblExp22,drecallDblExp23,drecallDblExp31,drecallDblExp32,drecallDblExp33,drecallDblExp41,drecallDblExp42,drecallDblExp43,drecog11,drecog12,drecog13,drecog21,drecog22,drecog23,drecog31,drecog32,drecog33,drecog41,drecog42,drecog43,oriented_RED,unoriented_BLACK,delRec_Oriented,delRec_unoriented,delRec_unoriented_noCntrl
1002,1,1,0.95,1,1,1,1,0.95,1,1,1,0.95,1,781,753,741,790,623,681,759,862,732,867,849,610,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0, , , , , , , , , , , , ,0.01,0.002222222, , , 
1003,1,0.95,0.74,0.94,0.89,0.95,1,0.95,0.82,0.91,0.86,0.95,0.85,499,662,633,550,584,629,573,672,498,600,598,549,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0.04,0,0.05,0.05, , , , , , , , , , , , ,0,0, , , 
1004,1,0.93,0.83,0.95,1,0.82,0.94,1,0.75,1,1,0.94,1,746,674,613,665,672,591,749,752,607,693,762,713,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0,0.002222222, , , 
1005,1,1,1,1,0.91,0.96,1,1,0.89,1,1,1,1,798,855,746,831,885,753,966,1004,770,909,872,753,0,0,0.02,0.02,0,0,0.03,0,0.03,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0.01,0.007777778, , , 
1006,1,1,1,1,1,0.95,1,1,0.96,1,0.89,1,0.96,758,872,840,971,680,858,994,845,640,848,839,798,0,0,0.03,0,0.03,0.03,0,0,0,0,0.03,0,0,0,0.06,0,0,0.06,0,0,0,0.11,0,0.04, , , , , , , , , , , , ,0.01,0.01, , , 
1007,1,1,0.84,0.92,0.73,0.93,0.76,0.86,0.81,1,0.86,0.89,0.93,412,472,457,466,446,513,511,527,395,484,506,435,0,0.04,0,0,0.02,0,0.02,0,0.02,0.03,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0.11,0, , , , , , , , , , , , ,0.013333333,0.012222222, , , 
1008,1,1,0.89,1,1,0.89,1,0.95,0.85,0.92,0.95,0.93,0.88,753,893,744,817,683,630,873,783,695,734,713,674,0.05,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.06,0.05,0.05,0,0,0.08,0,0,0, , , , , , , , , , , , ,0.016666667,0.003333333, , , 
1009,1,0.88,1,0.83,0.9,0.94,0.94,0.82,0.91,1,0.95,0.84,0.93,748,850,699,786,738,660,642,747,700,756,715,593,0,0.03,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.09,0,0,0,0, , , , , , , , , , , , ,0,0.003333333, , , 
1010,1,0.88,0.95,1,0.89,1,1,0.86,0.95,0.95,0.91,1,1,496,594,472,600,584,499,541,535,465,589,639,481,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0.06,0.05,0.06,0,0,0,0,0.05,0,0,0,0, , , , , , , , , , , , ,0.006666667,0.003333333, , , 
1011,1,0.81,0.56,0.95,0.75,0.81,0.89,0.76,0.89,0.93,0.68,0.79,0.85,502,534,483,554,512,476,525,527,429,544,505,479,0,0,0,0,0,0,0,0,0.05,0,0,0,0.06,0,0,0.06,0,0.06,0,0.05,0,0,0,0, , , , , , , , , , , , ,0.016666667,0, , , 
1012,1,0.83,0.88,0.92,0.71,0.88,0.87,0.74,1,0.88,0.76,1,1,715,656,592,727,741,596,592,748,566,663,679,545,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.07,0,0.1,0,0,0,0.05, , , , , , , , , , , , ,0.006666667,0.002222222, , , 
1013,1,0.81,0.93,0.79,0.76,1,0.82,0.89,0.8,0.93,0.65,0.94,0.86,554,589,560,627,562,576,742,625,464,654,658,520,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.05, , , , , , , , , , , , ,0.01,0, , , 
1014,1,0.85,0.81,0.89,0.95,0.88,0.95,0.94,0.88,0.81,0.81,0.87,0.86,557,721,812,657,758,728,613,815,742,638,720,638,0,0,0,0,0,0,0,0.03,0,0.06,0,0,0,0,0.17,0,0,0,0,0,0.05,0,0,0.07, , , , , , , , , , , , ,0,0.01, , , 
1015,1,0.91,0.67,0.94,0.71,0.76,0.89,0.69,0.65,0.94,0.8,0.9,0.95,520,557,455,573,539,489,520,596,408,517,484,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0,0.14,0, , , , , , , , , , , , ,0,0, , , 
1016,1,0.92,0.76,0.89,0.87,0.71,1,0.76,0.85,0.94,0.85,0.81,0.89,915,958,689,793,763,551,815,790,624,809,815,564,0,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.05, , , , , , , , , , , , ,0.01,0.003333333, , , 
1017,1,1,0.95,0.9,0.84,0.95,0.94,0.92,0.82,0.89,1,0.81,0.94,657,614,671,601,611,591,631,670,517,628,733,499,0,0.03,0,0.05,0,0,0.05,0,0,0,0,0.03,0,0.05,0.05,0.05,0,0,0,0,0,0.07,0,0, , , , , , , , , , , , ,0,0.017777778, , , 
1018,1,1,0.94,0.87,0.89,1,0.93,1,0.96,0.93,1,1,1,512,567,582,582,568,617,520,570,572,560,616,579,0.03,0,0.03,0,0.05,0.03,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.09,0,0.05, , , , , , , , , , , , ,0.026666667,0.006666667, , , 
1019,1,0.94,0.86,1,0.94,1,0.86,0.81,0.79,1,0.67,0.77,1,517,622,551,608,523,627,673,630,473,613,575,533,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0.06,0,0.14,0,0.06,0.1,0,0,0,0,0,0.05, , , , , , , , , , , , ,0,0.006666667, , , 
1020,1,0.67,0.76,0.89,0.56,0.79,0.94,0.77,0.8,0.95,0.74,0.81,0.94,571,589,560,624,542,554,620,518,513,640,615,565,0,0,0,0.03,0,0,0.03,0.02,0,0,0,0,0,0,0.06,0,0.05,0,0,0,0.05,0,0,0, , , , , , , , , , , , ,0,0.008888889, , , 
1021,1,0.83,0.79,0.89,0.86,0.88,0.94,0.67,0.94,0.85,0.83,0.82,0.89,607,583,612,593,586,603,573,583,515,629,560,623,0,0,0.03,0,0.02,0,0,0,0,0.03,0.03,0,0,0,0.06,0,0,0,0.07,0,0.05,0,0,0, , , , , , , , , , , , ,0.006666667,0.01, , , 
1022,1,0.91,0.79,1,0.93,0.86,1,0.95,0.73,1,1,0.75,1,577,604,554,641,527,561,639,619,470,615,606,545,0,0,0,0,0,0,0,0,0.02,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.07,0,0.04, , , , , , , , , , , , ,0.006666667,0, , , 
1023,1,1,0.67,0.62,0.75,0.9,0.67,0.68,0.53,0.94,0.68,0.67,1,578,769,698,673,588,729,776,694,528,682,685,596,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0,0.003333333, , , 
1024,1,0.94,0.76,0.81,0.68,1,0.75,0.85,0.9,0.93,0.63,0.6,0.82,557,629,730,636,546,714,648,615,539,624,625,575,0,0,0,0,0,0,0.03,0,0.08,0,0,0.03,0.06,0.06,0,0,0.07,0,0.05,0.05,0,0,0,0, , , , , , , , , , , , ,0.026666667,0.006666667, , , 
1025,1,0.93,0.63,0.62,0.85,0.95,0.88,0.87,0.62,0.94,0.57,0.92,1,471,542,496,559,403,504,520,554,421,579,513,410,0,0,0,0.03,0,0,0.02,0,0.03,0.04,0,0,0.07,0.05,0.1,0.05,0,0,0.07,0,0,0,0,0.06, , , , , , , , , , , , ,0.01,0.01, , , 
1026,1,0.83,0.57,0.78,0.78,1,0.84,0.85,0.68,1,0.67,0.8,1,608,930,783,769,698,749,874,794,542,744,799,713,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.09,0,0,0.05,0,0.05,0,0,0.05,0, , , , , , , , , , , , ,0,0.003333333, , , 
